place,name,blkgrps,population,households,alltransit_performance_score,state
"""0421980""","""Elephant Head""",0.14,151.38,53.78,0.0,AZ
"""0422080""","""Elfrida""",0.08,50.88,25.94,0.0,AZ
"""0422150""","""Elgin""",0.02,37.5,17.61,0.0,AZ
"""0422220""","""El Mirage""",27.17,33311.4,9958.34,0.5,AZ
"""0422360""","""Eloy""",8.7,17700.04,3021.89,0.0,AZ
"""0422400""","""El Prado Estates""",0.11,154.75,46.97,2.4,AZ
"""0423512""","""First Mesa""",0.03,110.57,25.75,0.3,AZ
"""0423620""","""Flagstaff""",40.86,67338.38,22583.87,4.0,AZ
"""0423760""","""Florence""",5.88,19109.78,4663.16,0.0,AZ
"""0423955""","""Flowing Springs""",0.03,34.0,14.69,0.0,AZ
"""0423960""","""Flowing Wells""",10.91,14073.21,5592.41,5.2,AZ
"""0424250""","""Fort Apache""",0.01,20.09,4.81,0.0,AZ
"""0424460""","""Fort Defiance""",0.52,1262.95,312.92,1.0,AZ
"""0424895""","""Fort Mohave""",3.6,10619.65,4446.62,0.0,AZ
"""0424950""","""Fort Thomas""",0.02,31.59,10.84,0.0,AZ
"""0425030""","""Fortuna Foothills""",21.68,27248.45,12505.9,0.7,AZ
"""0425045""","""Fort Valley""",0.17,263.37,95.67,1.5,AZ
"""0425300""","""Fountain Hills""",15.0,24047.0,11677.0,0.6,AZ
"""0425650""","""Franklin""",0.0,4.21,1.32,0.0,AZ
"""0425720""","""Fredonia""",0.16,208.66,81.29,0.0,AZ
"""0425735""","""Freedom Acres""",0.03,34.15,14.44,0.0,AZ
"""0426070""","""Gadsden""",0.1,110.91,34.5,1.7,AZ
"""0426210""","""Ganado""",0.3,208.27,53.81,0.5,AZ
"""0426780""","""Geronimo Estates""",0.02,25.76,10.89,0.0,AZ
"""0427050""","""Gila Bend""",0.93,1600.44,505.34,1.2,AZ
"""0427260""","""Gila Crossing""",0.01,45.66,9.86,2.0,AZ
"""0427400""","""Gilbert""",111.71,226694.69,72463.5,2.4,AZ
"""0427540""","""Gisela""",0.03,25.51,10.24,0.0,AZ
"""0427820""","""Glendale""",160.65,241435.37,81149.51,5.6,AZ
"""0428030""","""Globe""",6.36,6338.3,2465.89,0.0,AZ
"""0428140""","""Gold Canyon""",4.6,9082.21,4397.67,0.0,AZ
"""0428190""","""Golden Shores""",0.76,432.91,221.66,0.0,AZ
"""0428195""","""Golden Valley""",3.72,6401.26,2915.14,0.0,AZ
"""0428380""","""Goodyear""",31.82,74613.02,23814.26,1.1,AZ
"""0428465""","""Goodyear Village""",0.29,176.05,50.83,0.0,AZ
"""0428981""","""Grand Canyon Village""",0.56,801.82,291.65,0.0,AZ
"""0428985""","""Grand Canyon West""",0.03,34.94,9.13,0.0,AZ
"""0429430""","""Greasewood""",0.05,41.17,11.0,0.3,AZ
"""0429710""","""Green Valley""",17.11,18080.77,11017.84,0.0,AZ
"""0429850""","""Greer""",0.0,0.74,0.35,0.0,AZ
"""0430270""","""Guadalupe""",4.0,6270.0,1686.0,7.1,AZ
"""0430550""","""Gu Oidak""",0.01,18.32,4.8,0.2,AZ
"""0430830""","""Hackberry""",0.02,36.51,16.07,0.0,AZ
"""0430840""","""Haigler Creek""",0.0,1.82,0.98,0.0,AZ
"""0430850""","""Haivana Nakya""",0.0,2.1,0.6,0.0,AZ
"""0431182""","""Hard Rock""",0.03,32.54,9.21,0.1,AZ
"""0432020""","""Hayden""",0.42,192.49,80.63,0.0,AZ
"""0432310""","""Heber-Overgaard""",2.17,1549.62,705.07,0.0,AZ
"""0433280""","""Holbrook""",1.47,1095.57,393.32,0.0,AZ
"""0433440""","""Hondah""",0.08,221.47,56.26,0.0,AZ
"""0433945""","""Hotevilla-Bacavi""",0.01,51.21,12.27,0.3,AZ
"""0433980""","""Houck""",0.35,488.32,133.43,0.3,AZ
"""0434120""","""Huachuca City""",0.71,980.94,408.32,0.0,AZ
"""0434700""","""Hunter Creek""",0.03,9.85,5.78,0.0,AZ
"""0434980""","""Icehouse Canyon""",0.08,151.85,70.02,0.0,AZ
"""0435310""","""Indian Wells""",0.06,54.84,14.44,0.3,AZ
"""0436010""","""Jakes Corner""",0.01,12.62,5.07,0.0,AZ
"""0436150""","""Jeddito""",0.12,103.24,30.5,0.3,AZ
"""0436290""","""Jerome""",0.0,10.73,4.95,0.6,AZ
"""0436430""","""Joseph City""",0.02,29.18,9.54,0.0,AZ
"""0436475""","""Kachina Village""",0.48,665.63,274.31,0.0,AZ
"""0436500""","""Kaibab""",0.02,84.38,14.38,0.0,AZ
"""0436640""","""Kaibito""",0.05,97.89,22.85,0.0,AZ
"""0436780""","""Kaka""",0.0,0.2,0.08,0.0,AZ
"""0436920""","""Katherine""",0.01,11.63,5.68,0.0,AZ
"""0436990""","""Kayenta""",0.73,1723.29,465.12,0.3,AZ
"""0437130""","""Keams Canyon""",0.05,23.23,6.09,0.3,AZ
"""0437200""","""Kearny""",1.18,1440.27,477.05,0.0,AZ
"""0437620""","""Kingman""",9.26,21712.81,8706.96,0.1,AZ
"""0437935""","""Kino Springs""",0.0,1.35,0.39,0.0,AZ
"""0438250""","""Klagetoh""",0.0,0.83,0.25,0.2,AZ
"""0438530""","""Kohatk""",0.0,0.11,0.02,0.0,AZ
"""0438600""","""Kohls Ranch""",0.01,5.25,3.08,0.0,AZ
"""0438655""","""Komatke""",0.03,117.72,25.43,2.0,AZ
"""0438950""","""Ko Vaya""",0.0,2.08,0.51,0.3,AZ
"""0439100""","""Kykotsmovi Village""",0.02,73.7,17.66,0.3,AZ
"""0439370""","""Lake Havasu City""",31.62,48327.43,21031.71,0.0,AZ
"""0439720""","""Lake Montezuma""",1.22,2332.6,1049.87,0.0,AZ
"""0439790""","""Lake of the Woods""",2.49,2486.82,1001.39,0.0,AZ
"""0440160""","""La Paz Valley""",0.24,237.18,151.53,0.0,AZ
"""0440400""","""Lazy Y U""",0.02,32.52,14.31,0.0,AZ
"""0440415""","""LeChee""",0.06,106.46,27.18,0.0,AZ
"""0440630""","""Leupp""",0.05,57.97,15.7,0.0,AZ
"""0441085""","""Linden""",0.9,1930.81,792.29,0.0,AZ
"""0441330""","""Litchfield Park""",3.47,6296.32,2469.24,0.3,AZ
"""0441470""","""Littlefield""",0.0,9.36,3.82,0.0,AZ
"""0441540""","""Littletown""",0.02,105.9,32.2,4.4,AZ
