place,name,blkgrps,population,households,alltransit_performance_score,state
"""5620110""","""Diamondville""",0.3,538.28,225.09,0.0,WY
"""5620690""","""Dixon""",0.0,0.1,0.02,0.0,WY
"""5621125""","""Douglas""",2.42,2945.27,1376.66,0.0,WY
"""5621415""","""Dubois""",0.0,4.07,2.1,0.0,WY
"""5622720""","""East Thermopolis""",0.0,0.25,0.13,0.0,WY
"""5623010""","""Eden""",0.01,4.58,1.97,0.0,WY
"""5623155""","""Edgerton""",0.0,0.88,0.38,0.6,WY
"""5624025""","""Elk Mountain""",0.0,0.14,0.07,0.0,WY
"""5624750""","""Encampment""",0.0,2.18,0.83,0.0,WY
"""5625185""","""Esterbrook""",0.0,3.85,1.36,0.0,WY
"""5625330""","""Ethete""",0.43,681.45,166.6,0.0,WY
"""5625475""","""Etna""",0.07,142.31,60.39,0.0,WY
"""5625620""","""Evanston""",6.55,7658.42,3013.43,0.0,WY
"""5625765""","""Evansville""",0.45,1326.14,557.97,2.0,WY
"""5625910""","""Fairview""",0.07,99.85,32.44,0.0,WY
"""5626055""","""Farson""",0.01,8.14,3.51,0.0,WY
"""5627650""","""Fontenelle""",0.0,1.99,0.81,0.0,WY
"""5627940""","""Fort Bridger""",0.0,2.0,0.67,0.0,WY
"""5628230""","""Fort Laramie""",0.0,0.22,0.09,0.0,WY
"""5628665""","""Fort Washakie""",0.61,899.63,237.4,0.0,WY
"""5629300""","""Fox Farm-College""",2.83,4668.13,1636.12,2.1,WY
"""5629400""","""Fox Park""",0.0,1.19,0.54,0.0,WY
"""5629825""","""Frannie""",0.0,2.16,0.8,0.0,WY
"""5630115""","""Freedom""",0.11,189.31,78.29,0.0,WY
"""5630985""","""Garland""",0.01,22.43,8.14,0.0,WY
"""5631855""","""Gillette""",12.57,18537.39,6749.59,0.0,WY
"""5632290""","""Glendo""",0.0,0.61,0.3,0.0,WY
"""5632435""","""Glenrock""",0.48,694.26,279.48,0.0,WY
"""5632870""","""Granger""",0.0,2.94,1.24,0.0,WY
"""5633740""","""Green River""",7.77,9443.36,3420.82,0.0,WY
"""5633885""","""Greybull""",0.98,1677.2,621.61,0.0,WY
"""5634030""","""Grover""",0.01,32.82,9.6,0.0,WY
"""5634320""","""Guernsey""",0.01,8.07,3.55,0.0,WY
"""5635335""","""Hanna""",0.0,1.11,0.52,0.0,WY
"""5635552""","""Hartrandt""",0.0,12.0,4.44,0.6,WY
"""5635625""","""Hartville""",0.0,0.29,0.15,0.0,WY
"""5636060""","""Hawk Springs""",0.0,2.03,0.83,0.0,WY
"""5637510""","""Hillsdale""",0.0,2.38,0.94,0.0,WY
"""5637727""","""Hill View Heights""",0.0,2.76,1.11,0.0,WY
"""5637945""","""Hoback""",0.06,105.13,44.78,0.0,WY
"""5638307""","""Homa Hills""",0.02,70.39,26.04,0.6,WY
"""5638960""","""Hudson""",0.0,1.6,0.44,0.0,WY
"""5639105""","""Hulett""",0.0,0.83,0.34,0.0,WY
"""5639250""","""Huntley""",0.0,1.49,0.6,0.0,WY
"""5639395""","""Hyattville""",0.0,4.52,1.82,0.0,WY
"""5640120""","""Jackson""",3.29,3882.09,1266.99,0.0,WY
"""5640265""","""James Town""",0.08,57.14,22.78,0.0,WY
"""5640555""","""Jeffrey City""",0.01,20.96,9.25,0.0,WY
"""5640945""","""Johnstown""",0.31,297.84,112.62,0.0,WY
"""5641353""","""Kaycee""",0.0,0.25,0.11,0.0,WY
"""5641860""","""Kelly""",0.0,0.19,0.04,0.0,WY
"""5642005""","""Kemmerer""",1.77,1939.94,829.42,0.0,WY
"""5642730""","""Kirby""",0.0,0.21,0.11,0.0,WY
"""5643455""","""La Barge""",0.0,0.57,0.23,0.0,WY
"""5643745""","""La Grange""",0.0,0.48,0.2,0.0,WY
"""5644252""","""Lakeview North""",0.04,39.15,14.09,0.0,WY
"""5644615""","""Lance Creek""",0.02,10.46,5.09,0.0,WY
"""5644760""","""Lander""",2.83,4690.01,2002.53,0.0,WY
"""5645050""","""Laramie""",20.04,25259.33,10594.31,0.0,WY
"""5646790""","""Lingle""",0.01,8.17,3.02,0.0,WY
"""5646935""","""Little America""",0.0,3.16,1.33,0.0,WY
"""5647370""","""Lonetree""",0.04,45.98,15.25,0.0,WY
"""5647805""","""Lost Springs""",0.0,0.1,0.04,0.0,WY
"""5647950""","""Lovell""",0.13,196.96,74.97,0.0,WY
"""5648240""","""Lucerne""",0.02,19.93,9.69,0.0,WY
"""5648530""","""Lusk""",0.24,217.1,79.85,0.0,WY
"""5648675""","""Lyman""",0.2,284.92,105.92,0.0,WY
"""5649400""","""McKinnon""",0.01,10.95,3.36,0.0,WY
"""5649775""","""Mammoth""",0.0,0.35,0.15,0.0,WY
"""5649980""","""Manderson""",0.0,1.54,0.55,0.0,WY
"""5650270""","""Manville""",0.0,0.07,0.03,0.0,WY
"""5650415""","""Marbleton""",0.0,1.57,0.44,0.0,WY
"""5651285""","""Meadow Acres""",0.0,4.03,1.9,0.6,WY
"""5651575""","""Medicine Bow""",0.0,2.01,0.9,0.0,WY
"""5651720""","""Meeteetse""",0.0,0.7,0.27,0.0,WY
"""5652445""","""Midwest""",0.0,1.5,0.64,0.6,WY
"""5653460""","""Mills""",1.76,2261.68,994.3,2.0,WY
"""5654185""","""Moorcroft""",0.06,92.1,34.58,0.0,WY
"""5654402""","""Moose Wilson Road""",0.89,1566.65,630.93,0.0,WY
"""5655200""","""Mountain View""",0.84,1042.32,494.46,1.4,WY
"""5655345""","""Mountain View""",0.02,42.3,15.27,0.0,WY
"""5656215""","""Newcastle""",0.3,361.91,177.7,0.0,WY
"""5656520""","""Nordic""",0.17,272.9,116.86,0.0,WY
"""5656700""","""North Rock Springs""",1.36,1177.92,481.72,0.0,WY
"""5657375""","""Oakley""",0.0,5.06,1.72,0.0,WY
"""5657810""","""Opal""",0.0,0.23,0.09,0.0,WY
"""5658100""","""Orin""",0.0,1.17,0.41,0.0,WY
"""5658680""","""Osage""",0.0,2.42,0.97,0.0,WY
"""5658970""","""Osmond""",0.25,330.09,114.7,0.0,WY
"""5659332""","""Owl Creek""",0.0,4.82,2.09,0.0,WY
"""5659985""","""Parkman""",0.01,20.04,9.05,0.0,WY
"""5660130""","""Pavillion""",0.0,0.33,0.12,0.0,WY
"""5661435""","""Pine Bluffs""",0.02,31.31,14.11,0.0,WY
"""5661580""","""Pinedale""",0.0,5.56,1.9,0.0,WY
"""5661610""","""Pine Haven""",0.0,2.99,1.18,0.0,WY
"""5662160""","""Point of Rocks""",0.0,0.73,0.32,0.0,WY
"""5662305""","""Powder River""",0.0,1.67,0.66,0.0,WY
"""5662450""","""Powell""",3.64,4353.07,1841.1,0.0,WY
"""5662812""","""Purple Sage""",0.01,12.6,3.18,0.0,WY
"""5663100""","""Rafter J Ranch""",0.03,86.37,34.75,0.0,WY
"""5663465""","""Ralston""",0.08,69.84,25.45,0.0,WY
"""5663755""","""Ranchester""",0.0,6.16,2.2,0.0,WY
"""5663800""","""Ranchettes""",4.79,8700.33,3330.2,0.7,WY
"""5663900""","""Rawlins""",5.99,6600.35,2676.22,0.0,WY
"""5664400""","""Red Butte""",0.06,242.79,87.48,0.6,WY
"""5665060""","""Reliance""",0.08,50.09,29.06,0.0,WY
"""5666075""","""Riverside""",0.0,0.37,0.14,0.0,WY
"""5666220""","""Riverton""",7.65,7968.86,3336.81,0.0,WY
"""5666655""","""Robertson""",0.06,151.94,54.85,0.0,WY
"""5667090""","""Rock River""",0.0,0.66,0.31,0.0,WY
"""5667235""","""Rock Springs""",12.11,17820.52,6547.63,0.0,WY
"""5667440""","""Rolling Hills""",0.0,0.26,0.1,0.0,WY
"""5667670""","""Ryan Park""",0.0,2.84,1.09,0.0,WY
"""5668685""","""Saratoga""",0.17,160.59,70.66,0.0,WY
"""5669700""","""Shell""",0.0,1.25,0.55,0.0,WY
"""5669845""","""Sheridan""",11.36,14883.7,6773.25,0.0,WY
"""5670570""","""Shoshoni""",0.0,2.48,1.1,0.0,WY
"""5671150""","""Sinclair""",0.0,1.47,0.44,0.0,WY
"""5671295""","""Slater""",0.09,58.74,26.38,0.0,WY
"""5671350""","""Sleepy Hollow""",0.02,31.74,11.3,0.0,WY
"""5671440""","""Smoot""",0.04,63.19,20.53,0.0,WY
"""5671800""","""South Greeley""",2.65,4135.85,1642.79,1.9,WY
"""5671947""","""South Park""",1.21,2463.58,1105.31,0.0,WY
"""5673180""","""Star Valley Ranch""",0.09,216.28,90.96,0.0,WY
"""5673615""","""Story""",0.07,123.77,54.92,0.0,WY
"""5674195""","""Sundance""",0.09,158.06,66.14,0.0,WY
"""5674775""","""Superior""",0.0,0.37,0.16,0.0,WY
"""5675355""","""Table Rock""",0.0,0.29,0.13,0.0,WY
"""5675572""","""Taylor""",0.0,2.94,0.95,0.0,WY
"""5675790""","""Ten Sleep""",0.0,0.16,0.07,0.0,WY
"""5675935""","""Teton Village""",0.01,16.31,7.39,0.0,WY
"""5676370""","""Thayne""",0.03,52.25,20.09,0.0,WY
"""5676515""","""Thermopolis""",1.56,2251.94,1074.56,0.0,WY
"""5677530""","""Torrington""",2.41,2222.28,805.56,0.0,WY
"""5678400""","""Turnerville""",0.09,164.26,59.51,0.0,WY
"""5679125""","""Upton""",0.0,5.22,2.54,0.0,WY
"""5679270""","""Urie""",0.02,52.95,19.1,0.0,WY
"""5679705""","""Van Tassell""",0.0,0.45,0.22,0.0,WY
"""5680285""","""Veteran""",0.01,7.33,2.95,0.0,WY
"""5680575""","""Vista West""",1.0,1030.0,381.0,0.0,WY
"""5681300""","""Wamsutter""",0.0,0.14,0.06,0.0,WY
"""5681640""","""Warren AFB""",3.0,2208.0,466.0,0.6,WY
"""5681703""","""Washam""",0.0,5.82,1.79,0.0,WY
"""5682967""","""Westview Circle""",0.01,5.2,2.68,0.0,WY
"""5683040""","""Wheatland""",2.19,2224.96,943.23,0.0,WY
"""5683100""","""Whiting""",0.0,2.58,1.33,0.0,WY
"""5683765""","""Wilson""",0.56,940.83,346.38,0.0,WY
"""5684852""","""Woods Landing-Jelm""",0.02,19.98,9.11,0.0,WY
"""5684925""","""Worland""",4.06,3694.85,1587.22,0.0,WY
"""5685015""","""Wright""",0.0,6.88,2.81,0.0,WY
"""5686665""","""Yoder""",0.0,0.25,0.1,0.0,WY
"""5686737""","""Y-O Ranch""",0.11,109.45,39.4,0.0,WY
