place,name,blkgrps,population,households,alltransit_performance_score,state
"""1765845""","""Roseville""",0.07,39.61,16.33,0.0,IL
"""1765884""","""Rosewood Heights""",1.34,2616.66,1163.8,2.7,IL
"""1765897""","""Rosiclare""",0.35,228.74,82.85,0.0,IL
"""1765962""","""Rossville""",0.19,283.9,102.99,0.0,IL
"""1766027""","""Round Lake""",2.91,8500.77,2818.71,4.1,IL
"""1766040""","""Round Lake Beach""",12.83,26379.29,7666.17,3.3,IL
"""1766053""","""Round Lake Heights""",0.76,2149.17,720.35,3.0,IL
"""1766066""","""Round Lake Park""",2.74,5818.97,1847.59,4.6,IL
"""1766131""","""Roxana""",3.99,3364.06,1276.08,3.8,IL
"""1766157""","""Royal""",0.01,4.09,1.6,0.0,IL
"""1766196""","""Royal Lakes""",0.01,8.49,4.25,0.0,IL
"""1766209""","""Royalton""",0.24,159.86,72.51,0.0,IL
"""1766287""","""Ruma""",0.01,13.21,5.29,0.0,IL
"""1766339""","""Rushville""",1.73,1612.28,799.17,0.0,IL
"""1766404""","""Russellville""",0.01,4.15,1.85,0.0,IL
"""1766443""","""Rutland""",0.01,6.66,3.11,0.0,IL
"""1766534""","""Sadorus""",0.02,17.32,6.67,0.0,IL
"""1766599""","""Sailor Springs""",0.0,2.14,0.83,0.0,IL
"""1766638""","""St. Anne""",0.11,165.57,63.08,0.0,IL
"""1766677""","""St. Augustine""",0.02,9.42,3.74,0.0,IL
"""1766703""","""St. Charles""",17.13,30733.52,11695.98,0.6,IL
"""1766768""","""St. David""",0.03,28.32,11.47,0.0,IL
"""1766794""","""St. Elmo""",0.25,191.17,79.83,0.0,IL
"""1766800""","""Ste. Marie""",0.02,14.64,6.16,0.0,IL
"""1766833""","""St. Francisville""",0.12,62.5,30.48,0.0,IL
"""1766859""","""St. Jacob""",0.07,119.57,41.22,0.9,IL
"""1766924""","""St. Johns""",0.36,261.9,115.2,0.8,IL
"""1766950""","""St. Joseph""",1.88,4009.89,1519.7,0.0,IL
"""1766989""","""St. Libory""",0.03,43.81,15.69,0.0,IL
"""1767132""","""St. Peter""",0.01,8.7,3.61,0.0,IL
"""1767158""","""St. Rose""",0.02,28.47,10.22,0.0,IL
"""1767236""","""Salem""",5.78,5671.32,2426.02,0.0,IL
