place,name,blkgrps,population,households,alltransit_performance_score,state
"""5562450""","""Phillips""",0.66,484.54,216.12,0.0,WI
"""5562675""","""Pigeon Falls""",0.01,13.34,5.17,0.0,WI
"""5562975""","""Pine River""",0.03,44.52,18.94,0.0,WI
"""5563100""","""Pittsville""",0.11,109.03,45.46,0.0,WI
"""5563125""","""Plain""",0.01,23.39,9.71,0.0,WI
"""5563150""","""Plainfield""",0.12,150.35,51.03,0.0,WI
"""5563250""","""Platteville""",3.33,5311.77,1737.4,0.0,WI
"""5563300""","""Pleasant Prairie""",11.58,22909.47,8737.6,1.6,WI
"""5563525""","""Plover""",3.33,5356.0,2150.31,0.0,WI
"""5563600""","""Plum City""",0.03,35.45,13.87,0.0,WI
"""5563700""","""Plymouth""",2.75,4226.35,1965.83,0.0,WI
"""5563925""","""Polonia""",0.09,154.91,60.36,0.0,WI
"""5563975""","""Poplar""",0.53,485.99,188.91,0.0,WI
"""5564100""","""Portage""",6.96,7449.59,2989.74,1.1,WI
"""5564175""","""Port Edwards""",2.74,2284.7,1008.59,0.0,WI
"""5564450""","""Port Washington""",6.18,9049.86,3856.05,0.2,WI
"""5564500""","""Port Wing""",0.0,4.33,2.17,0.0,WI
"""5564550""","""Post Lake""",0.14,80.6,41.79,0.0,WI
"""5564625""","""Potosi""",0.14,146.81,61.72,0.0,WI
"""5564675""","""Potter""",0.02,14.45,5.62,0.0,WI
"""5564700""","""Potter Lake""",0.72,845.52,351.46,0.0,WI
"""5564750""","""Pound""",0.02,25.65,10.94,0.0,WI
"""5564825""","""Powers Lake""",1.29,1242.87,466.54,0.0,WI
"""5564900""","""Poynette""",0.58,719.31,295.8,0.0,WI
"""5564950""","""Poy Sippi""",0.02,22.81,10.09,0.0,WI
"""5565050""","""Prairie du Chien""",3.71,3962.69,1686.56,0.0,WI
"""5565100""","""Prairie du Sac""",0.99,2037.78,907.24,0.0,WI
"""5565150""","""Prairie Farm""",0.04,33.5,13.79,0.0,WI
"""5565325""","""Prentice""",0.06,61.02,30.45,0.0,WI
"""5565375""","""Prescott""",1.12,1181.54,497.77,0.0,WI
"""5565600""","""Princeton""",0.21,153.34,68.66,0.0,WI
"""5565675""","""Pulaski""",1.42,2039.96,826.48,0.0,WI
"""5565725""","""Pulcifer""",0.04,37.61,13.74,0.0,WI
"""5566000""","""Racine""",79.82,75143.98,29000.76,5.8,WI
"""5566050""","""Radisson""",0.0,3.12,1.66,0.0,WI
"""5566150""","""Randolph""",0.7,983.34,368.52,0.0,WI
"""5566200""","""Random Lake""",0.5,815.29,362.72,0.0,WI
"""5566450""","""Readstown""",0.06,51.46,20.85,0.0,WI
"""5566625""","""Redgranite""",0.24,667.87,197.7,0.0,WI
"""5566800""","""Reedsburg""",2.24,4634.32,1791.28,0.0,WI
"""5566875""","""Reedsville""",0.03,49.48,19.43,0.0,WI
"""5566900""","""Reeseville""",0.03,36.96,15.09,0.0,WI
"""5567050""","""Reserve""",0.77,607.57,305.32,0.0,WI
"""5567100""","""Rewey""",0.01,8.23,3.04,0.0,WI
"""5567200""","""Rhinelander""",6.17,5622.07,2470.57,0.0,WI
"""5567275""","""Rib Lake""",0.05,82.21,36.87,0.0,WI
"""5567320""","""Rib Mountain""",3.01,4725.78,1745.8,0.6,WI
"""5567350""","""Rice Lake""",5.9,5917.77,2728.06,0.0,WI
"""5567475""","""Richfield""",7.01,11555.86,4478.76,0.0,WI
"""5567625""","""Richland Center""",1.95,2398.31,1076.09,0.0,WI
"""5567800""","""Ridgeland""",0.01,9.89,4.15,0.0,WI
"""5567875""","""Ridgeway""",0.02,32.36,13.2,0.0,WI
"""5568100""","""Rio""",0.29,340.47,134.0,0.0,WI
"""5568175""","""Ripon""",2.0,2065.83,1046.75,0.0,WI
"""5568275""","""River Falls""",5.61,10527.56,3370.78,0.0,WI
"""5568325""","""River Hills""",1.0,1558.0,570.0,3.8,WI
"""5568475""","""Roberts""",0.74,904.5,365.87,0.0,WI
"""5568550""","""Rochester""",2.32,3454.39,1366.18,0.0,WI
"""5568725""","""Rockdale""",0.03,46.97,20.03,0.0,WI
"""5568900""","""Rockland""",0.07,73.72,25.69,0.0,WI
"""5568975""","""Rock Springs""",0.1,67.28,26.63,0.0,WI
"""5569300""","""Rome""",0.23,425.55,170.92,0.0,WI
"""5569525""","""Rosendale""",0.03,39.44,15.95,0.0,WI
"""5569575""","""Rosholt""",0.07,61.23,24.4,0.0,WI
"""5569725""","""Rothschild""",3.94,5974.29,2366.49,2.1,WI
"""5570000""","""Rudolph""",0.07,66.47,27.61,0.0,WI
"""5570500""","""St. Cloud""",0.05,53.17,22.39,0.0,WI
"""5570550""","""St. Croix Falls""",0.73,974.22,469.09,0.0,WI
"""5570650""","""St. Francis""",7.0,9532.0,4681.0,5.8,WI
"""5570800""","""St. Joseph""",0.07,75.34,29.35,0.0,WI
