place,name,blkgrps,population,households,alltransit_performance_score,state
"""5075850""","""Wallingford""",0.78,736.9,313.93,1.2,VT
"""5076900""","""Waterbury""",1.18,1135.11,485.02,3.2,VT
"""5077800""","""Websterville""",0.45,585.32,244.94,0.2,VT
"""5077875""","""Wells""",0.04,33.01,14.75,0.0,VT
"""5078025""","""Wells River""",0.08,98.05,45.34,0.7,VT
"""5078850""","""West Brattleboro""",0.5,446.19,205.66,1.6,VT
"""5079150""","""West Burke""",0.03,30.23,12.57,0.0,VT
"""5081325""","""Westminster""",0.23,200.36,98.34,1.0,VT
"""5082375""","""West Rutland""",0.41,504.5,200.88,1.0,VT
"""5083575""","""White River Junction""",1.33,1313.01,636.84,4.0,VT
"""5084025""","""Wilder""",2.0,1451.0,598.0,3.0,VT
"""5084100""","""Williamstown""",0.17,293.09,125.93,0.6,VT
"""5084625""","""Wilmington""",0.06,69.35,31.99,2.0,VT
"""5085000""","""Windsor""",1.05,1202.86,557.6,1.3,VT
"""5085150""","""Winooski""",6.0,7203.0,3205.0,4.8,VT
"""5085900""","""Woodstock""",0.05,115.18,49.0,0.4,VT
"""5086050""","""Worcester""",0.0,1.56,0.68,0.0,VT
