place,name,blkgrps,population,households,alltransit_performance_score,state
"""4670740""","""Wetonka""",0.0,1.2,0.4,0.0,SD
"""4670940""","""White""",0.01,6.92,2.58,0.0,SD
"""4671140""","""Whitehorse""",0.0,4.71,1.62,0.0,SD
"""4671150""","""White Horse""",0.04,57.29,17.69,0.0,SD
"""4671180""","""White Lake""",0.0,1.85,0.85,0.0,SD
"""4671340""","""White River""",0.0,0.8,0.3,0.0,SD
"""4671380""","""White Rock""",0.01,3.94,1.7,0.0,SD
"""4671580""","""Whitewood""",0.01,18.89,7.63,0.0,SD
"""4671940""","""Willow Lake""",0.0,2.08,0.7,0.0,SD
"""4671980""","""Wilmot""",0.0,4.35,1.83,0.0,SD
"""4672100""","""Winfred""",0.01,6.49,2.59,0.0,SD
"""4672180""","""Winner""",0.22,225.94,105.51,0.0,SD
"""4672540""","""Wolsey""",0.01,7.78,3.51,0.0,SD
"""4672620""","""Wood""",0.0,0.38,0.14,0.0,SD
"""4672700""","""Woonsocket""",0.2,148.05,65.49,0.0,SD
"""4672820""","""Worthing""",0.02,24.61,8.33,0.0,SD
"""4672900""","""Wounded Knee""",0.0,7.94,1.56,0.0,SD
"""4673020""","""Yale""",0.0,0.54,0.21,0.0,SD
"""4673060""","""Yankton""",10.36,12128.86,5167.65,0.0,SD
