place,name,blkgrps,population,households,alltransit_performance_score,state
"""2600380""","""Addison""",0.08,88.17,38.04,0.0,MI
"""2600440""","""Adrian""",18.52,19504.23,7148.48,0.0,MI
"""2600480""","""Advance""",0.18,201.06,94.1,0.0,MI
"""2600620""","""Ahmeek""",0.0,1.51,0.69,0.0,MI
"""2600700""","""Akron""",0.05,41.93,16.04,0.0,MI
"""2600860""","""Alanson""",0.06,84.7,36.86,0.0,MI
"""2600900""","""Alba""",0.03,49.17,19.94,0.0,MI
"""2600980""","""Albion""",6.73,5447.91,1824.13,1.3,MI
"""2601060""","""Alden""",0.01,14.3,6.8,0.0,MI
"""2601180""","""Algonac""",3.98,4029.22,1845.32,0.6,MI
"""2601260""","""Allegan""",3.19,4197.91,1518.91,0.0,MI
"""2601300""","""Allen""",0.01,6.7,2.9,0.0,MI
"""2601340""","""Allendale""",5.26,17868.19,4785.52,4.2,MI
"""2601380""","""Allen Park""",28.0,27406.0,10928.0,2.0,MI
"""2601540""","""Alma""",5.85,6959.78,2651.43,0.0,MI
"""2601660""","""Almont""",1.97,2740.64,1106.03,0.0,MI
"""2601740""","""Alpena""",12.77,9956.55,4561.27,0.0,MI
"""2601800""","""Alpha""",0.01,8.42,3.74,0.0,MI
"""2601960""","""Amasa""",0.01,6.75,3.06,0.0,MI
"""2603000""","""Ann Arbor""",95.04,116130.86,46219.18,7.9,MI
"""2603200""","""Applegate""",0.03,37.03,14.65,0.0,MI
"""2603300""","""Arcadia""",0.02,15.27,6.83,0.0,MI
"""2603400""","""Argentine""",1.99,2692.87,1018.29,0.0,MI
"""2603520""","""Armada""",1.03,641.28,260.81,0.0,MI
"""2603740""","""Ashley""",0.02,17.45,6.93,0.0,MI
"""2603880""","""Athens""",0.12,120.06,43.57,0.0,MI
"""2603920""","""Atlanta""",0.22,194.53,85.81,0.0,MI
"""2604020""","""Attica""",0.4,812.57,297.12,0.0,MI
"""2604080""","""Auburn""",1.07,1298.58,616.57,2.6,MI
"""2604105""","""Auburn Hills""",15.33,21870.18,9287.44,1.1,MI
"""2604120""","""Au Gres""",0.52,412.46,205.71,0.0,MI
"""2604160""","""Augusta""",0.2,206.66,80.75,0.1,MI
"""2604280""","""Au Sable""",0.77,705.14,325.52,0.0,MI
"""2604740""","""Bad Axe""",2.35,1833.81,800.28,0.0,MI
"""2604940""","""Baldwin""",0.07,72.4,28.23,0.0,MI
"""2605080""","""Bancroft""",0.07,74.78,27.45,0.0,MI
"""2605140""","""Bangor""",0.81,915.46,300.42,1.1,MI
"""2605320""","""Baraga""",0.29,781.46,125.13,0.0,MI
"""2605470""","""Barnes Lake-Millers Lake""",0.59,749.59,308.2,0.0,MI
"""2605500""","""Baroda""",0.17,179.28,78.42,0.0,MI
"""2605580""","""Barryton""",0.03,31.56,12.56,0.0,MI
"""2605660""","""Barton Hills""",0.07,97.6,29.35,1.2,MI
"""2605880""","""Bath""",1.34,2132.53,843.48,0.0,MI
"""2605920""","""Battle Creek""",43.03,52261.35,20985.26,3.3,MI
"""2606020""","""Bay City""",37.0,33736.0,14267.0,4.5,MI
"""2606120""","""Bay Port""",0.15,113.01,54.39,0.0,MI
"""2606180""","""Bay Shore""",0.07,115.12,48.34,0.0,MI
"""2606260""","""Bay View""",0.28,439.27,189.37,0.0,MI
"""2606360""","""Beal City""",0.17,378.33,136.78,0.0,MI
"""2606430""","""Bear Lake""",0.12,109.8,46.6,0.0,MI
"""2606460""","""Bear Lake""",0.04,32.8,13.36,0.0,MI
"""2606660""","""Beaverton""",0.13,184.65,80.06,0.0,MI
"""2606820""","""Beecher""",10.74,9315.58,3540.57,4.3,MI
"""2606880""","""Beechwood""",2.36,3243.48,1253.0,2.6,MI
"""2606900""","""Belding""",6.0,5731.41,2143.52,0.0,MI
"""2606980""","""Bellaire""",0.15,157.49,70.05,0.0,MI
"""2607020""","""Belleville""",3.0,3880.0,1739.0,0.0,MI
"""2607060""","""Bellevue""",0.06,90.25,35.02,0.0,MI
"""2607220""","""Bendon""",0.05,66.91,26.89,0.0,MI
"""2607520""","""Benton Harbor""",8.12,10141.73,4110.68,0.1,MI
"""2607540""","""Benton Heights""",4.57,4638.29,1594.44,0.0,MI
"""2607580""","""Benzonia""",0.19,202.04,80.78,0.0,MI
"""2607660""","""Berkley""",14.0,15269.0,6504.0,5.2,MI
"""2607860""","""Berrien Springs""",2.02,1324.28,554.79,0.0,MI
"""2607960""","""Bessemer""",1.83,1041.12,525.87,0.0,MI
"""2608100""","""Beulah""",0.07,71.77,28.88,0.0,MI
"""2608160""","""Beverly Hills""",10.58,10102.14,3987.64,3.6,MI
"""2608180""","""Big Bay""",0.01,7.31,3.58,0.0,MI
"""2608300""","""Big Rapids""",6.81,7710.56,2107.06,0.5,MI
"""2608460""","""Bingham Farms""",1.03,1224.45,523.65,4.2,MI
"""2608540""","""Birch Run""",0.37,474.19,219.23,1.1,MI
"""2608640""","""Birmingham""",17.59,20410.7,8833.25,5.8,MI
"""2609000""","""Blissfield""",1.16,1325.06,580.27,0.0,MI
"""2609180""","""Bloomfield Hills""",3.0,3981.0,1292.0,1.4,MI
"""2609220""","""Bloomingdale""",0.1,84.08,39.52,0.0,MI
"""2609560""","""Boon""",0.02,23.52,9.78,0.0,MI
"""2609820""","""Boyne City""",2.47,2184.53,980.15,0.0,MI
