place,name,blkgrps,population,households,alltransit_performance_score,state
"""3800100""","""Abercrombie""",0.0,1.58,0.58,0.0,ND
"""3800340""","""Adams""",0.01,3.59,1.81,0.0,ND
"""3800940""","""Alamo""",0.0,0.49,0.19,0.0,ND
"""3801180""","""Alexander""",0.0,1.59,0.46,0.0,ND
"""3801420""","""Alice""",0.0,2.74,1.2,0.0,ND
"""3801700""","""Almont""",0.01,4.06,1.81,0.0,ND
"""3801740""","""Alsen""",0.04,30.19,13.06,0.0,ND
"""3801860""","""Ambrose""",0.0,4.81,2.61,0.0,ND
"""3801940""","""Amenia""",0.01,5.08,1.94,0.0,ND
"""3802060""","""Amidon""",0.0,0.35,0.16,0.0,ND
"""3802220""","""Anamoose""",0.0,1.76,0.83,0.0,ND
"""3802380""","""Aneta""",0.0,1.84,1.11,0.0,ND
"""3802660""","""Antler""",0.0,0.38,0.19,0.0,ND
"""3802860""","""Ardoch""",0.0,4.11,1.59,0.0,ND
"""3803020""","""Argusville""",0.02,27.89,10.04,0.0,ND
"""3803220""","""Arnegard""",0.0,0.41,0.11,0.0,ND
"""3803300""","""Arthur""",0.01,7.03,3.07,0.0,ND
"""3803540""","""Ashley""",0.13,89.32,46.2,0.0,ND
"""3803740""","""Auburn""",0.01,7.29,3.32,0.0,ND
"""3804020""","""Ayr""",0.0,0.27,0.1,0.0,ND
"""3804460""","""Balfour""",0.0,1.59,0.76,0.0,ND
"""3804580""","""Balta""",0.0,0.36,0.15,0.0,ND
"""3804740""","""Bantry""",0.0,0.36,0.16,0.0,ND
"""3804940""","""Barney""",0.0,0.85,0.36,0.0,ND
"""3805220""","""Barton""",0.0,0.73,0.27,0.2,ND
"""3805260""","""Bathgate""",0.0,1.01,0.41,0.0,ND
"""3805420""","""Beach""",0.0,4.38,1.99,0.0,ND
"""3805740""","""Belcourt""",2.1,1822.63,646.8,0.0,ND
"""3805820""","""Belfield""",0.03,30.74,12.66,0.0,ND
"""3805980""","""Benedict""",0.0,0.64,0.29,0.0,ND
"""3806180""","""Bergen""",0.0,4.07,1.75,0.0,ND
"""3806300""","""Berlin""",0.0,0.25,0.1,0.0,ND
"""3806460""","""Berthold""",0.0,2.68,1.09,0.0,ND
"""3806660""","""Beulah""",1.3,1320.23,540.73,0.0,ND
"""3807020""","""Binford""",0.0,0.54,0.29,0.0,ND
"""3807180""","""Bisbee""",0.0,0.34,0.16,0.0,ND
"""3807200""","""Bismarck""",40.35,61951.92,28115.65,3.3,ND
"""3807620""","""Blanchard""",0.0,0.79,0.37,0.0,ND
"""3808460""","""Bottineau""",0.78,946.12,412.21,0.0,ND
"""3808500""","""Bowbells""",0.0,1.59,0.69,0.0,ND
"""3808580""","""Bowdon""",0.0,0.34,0.16,0.0,ND
"""3808700""","""Bowman""",0.25,220.36,100.79,0.0,ND
"""3808900""","""Braddock""",0.0,0.41,0.17,0.0,ND
"""3809320""","""Briarwood""",0.01,15.02,6.0,0.0,ND
"""3809460""","""Brinsmade""",0.0,0.31,0.14,0.0,ND
"""3809700""","""Brocket""",0.0,1.78,0.65,0.0,ND
"""3809830""","""Brooktree Park""",0.01,6.49,2.44,0.0,ND
"""3810060""","""Buchanan""",0.0,0.11,0.05,0.0,ND
"""3810300""","""Bucyrus""",0.0,1.51,0.71,0.0,ND
"""3810420""","""Buffalo""",0.0,2.51,1.02,0.0,ND
"""3810940""","""Burlington""",0.02,38.89,13.49,0.0,ND
"""3811180""","""Butte""",0.0,0.68,0.34,0.0,ND
"""3811340""","""Buxton""",0.0,1.47,0.58,0.0,ND
"""3811500""","""Caledonia""",0.0,1.51,0.53,0.0,ND
"""3811580""","""Calio""",0.01,9.0,3.9,0.0,ND
"""3811700""","""Calvin""",0.0,0.22,0.1,0.0,ND
"""3811860""","""Cando""",0.0,3.25,1.44,0.0,ND
"""3812020""","""Cannon Ball""",0.51,538.77,125.62,0.0,ND
"""3812060""","""Canton City""",0.0,1.61,0.74,0.0,ND
"""3812260""","""Carpio""",0.0,1.3,0.5,0.0,ND
"""3812340""","""Carrington""",0.53,525.91,254.21,0.0,ND
"""3812460""","""Carson""",0.01,7.92,3.7,0.0,ND
"""3812700""","""Casselton""",0.54,736.22,270.29,0.0,ND
"""3812820""","""Cathay""",0.0,0.25,0.12,0.0,ND
"""3812940""","""Cavalier""",0.42,266.53,127.99,0.0,ND
"""3813020""","""Cayuga""",0.0,1.99,0.92,0.0,ND
"""3813180""","""Center""",0.0,1.28,0.57,0.0,ND
"""3814100""","""Christine""",0.0,1.63,0.65,0.0,ND
"""3814140""","""Churchs Ferry""",0.0,0.55,0.22,0.0,ND
"""3814660""","""Cleveland""",0.0,0.89,0.38,0.0,ND
"""3814740""","""Clifford""",0.0,0.44,0.21,0.0,ND
"""3815100""","""Cogswell""",0.0,0.8,0.41,0.0,ND
"""3815140""","""Coleharbor""",0.0,0.46,0.22,0.0,ND
"""3815180""","""Colfax""",0.0,4.93,1.81,0.0,ND
"""3815460""","""Columbus""",0.0,0.59,0.24,0.0,ND
"""3815820""","""Conway""",0.0,0.67,0.33,0.0,ND
"""3815900""","""Cooperstown""",0.01,11.68,4.79,0.0,ND
"""3816380""","""Courtenay""",0.0,1.38,0.53,0.0,ND
"""3816580""","""Crary""",0.0,2.31,0.84,0.0,ND
"""3816940""","""Crosby""",0.01,7.88,4.37,0.0,ND
"""3817060""","""Crystal""",0.0,2.94,1.23,0.0,ND
"""3817620""","""Dahlen""",0.0,0.32,0.14,0.0,ND
"""3818180""","""Davenport""",0.0,1.78,0.69,0.0,ND
"""3818260""","""Dawson""",0.0,0.61,0.22,0.0,ND
"""3818340""","""Dazey""",0.0,1.39,0.65,0.0,ND
"""3818620""","""Deering""",0.0,0.22,0.1,0.0,ND
"""3818820""","""De Lamere""",0.0,0.52,0.24,0.0,ND
"""3819060""","""Denhoff""",0.0,0.92,0.45,0.0,ND
