week,start_date,end_date,zip_code,vaccine_measure_id,final_zip_pred,state_name,county_name,vaccine_measure_name,definition
26,2021-06-25,2021-07-01,01010,1,0.0573767231042726,Massachusetts,Hampden County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,10103,1,0.0429287220766791,New York,New York County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,01011,1,0.0686998845149131,Massachusetts,Hampden County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,01011,1,0.0686998845149131,Massachusetts,Hampshire County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,10110,1,0.0429287220766791,New York,New York County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,10111,1,0.0429287220766791,New York,New York County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,10112,1,0.0429287220766791,New York,New York County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,10115,1,0.0429287220766791,New York,New York County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,10119,1,0.0429287220766791,New York,New York County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,01012,1,0.0393989166794596,Massachusetts,Hampshire County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,10128,1,0.0265906494212998,New York,New York County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,01013,1,0.0717609333486943,Massachusetts,Hampden County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,10152,1,0.0429287220766791,New York,New York County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,10153,1,0.0429287220766791,New York,New York County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,10154,1,0.0429287220766791,New York,New York County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,10162,1,0.0405075754864911,New York,New York County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,10165,1,0.0429287220766791,New York,New York County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,10167,1,0.0429287220766791,New York,New York County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,10168,1,0.0429287220766791,New York,New York County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,10169,1,0.0429287220766791,New York,New York County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,10170,1,0.0429287220766791,New York,New York County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,10171,1,0.0429287220766791,New York,New York County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,10172,1,0.0429287220766791,New York,New York County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,10173,1,0.0429287220766791,New York,New York County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,10174,1,0.0429287220766791,New York,New York County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,10177,1,0.0429287220766791,New York,New York County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,10199,1,0.0429287220766791,New York,New York County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,01020,1,0.047107979351822,Massachusetts,Hampden County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,01022,1,0.0489917024415321,Massachusetts,Hampden County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,01026,1,0.0620437859902015,Massachusetts,Hampshire County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,01027,1,0.0287104329015579,Massachusetts,Hampshire County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,10271,1,0.0429287220766791,New York,New York County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,10278,1,0.0429287220766791,New York,New York County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,10279,1,0.0429287220766791,New York,New York County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,01028,1,0.0372595681846712,Massachusetts,Hampden County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,10280,1,0.0404095350176497,New York,New York County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,10282,1,0.0015160207414526,New York,New York County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,01029,1,0.0729236298402784,Massachusetts,Berkshire County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,01030,1,0.0385850178672312,Massachusetts,Hampden County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,10301,1,0.0642112740857154,New York,Richmond County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,10302,1,0.0571965914924733,New York,Richmond County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,10303,1,0.0573115844858097,New York,Richmond County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,10304,1,0.0588670690082011,New York,Richmond County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,10305,1,0.0513010928912443,New York,Richmond County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,10306,1,0.0816329236568888,New York,Richmond County,high_vaccine_potential,yes probably will and no probably wont respondents
26,2021-06-25,2021-07-01,10307,1,0.0510297917775964,New York,Richmond County,high_vaccine_potential,yes probably will and no probably wont respondents
